Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	16	16
OG0000001	9	9
OG0000002	10	10
OG0000003	9	9
OG0000004	9	9
OG0000005	8	8
OG0000006	7	7
OG0000007	7	7
OG0000008	5	5
OG0000009	6	6
OG0000010	6	6
OG0000011	6	6
OG0000012	6	6
OG0000013	5	5
OG0000014	6	6
OG0000015	6	6
OG0000016	6	6
OG0000017	6	6
OG0000018	6	6
OG0000019	5	5
OG0000020	6	6
OG0000021	4	4
OG0000022	5	4
OG0000023	6	6
OG0000024	5	5
OG0000025	5	5
OG0000026	6	6
OG0000027	6	6
OG0000028	6	6
OG0000029	6	6
OG0000030	8	8
OG0000031	6	6
OG0000032	5	5
OG0000033	5	5
OG0000034	5	5
OG0000035	5	5
OG0000036	4	4
OG0000037	5	5
OG0000038	5	5
OG0000039	5	5
OG0000040	3	3
OG0000041	5	5
OG0000042	5	5
OG0000043	4	4
OG0000044	5	5
OG0000045	5	5
OG0000046	4	4
OG0000047	6	6
OG0000048	5	5
OG0000049	5	5
OG0000050	4	4
OG0000051	5	5
OG0000052	4	4
OG0000053	5	5
OG0000054	5	5
OG0000055	4	4
OG0000056	4	4
OG0000057	5	5
OG0000058	5	5
OG0000059	4	4
OG0000060	5	5
OG0000061	5	5
OG0000062	7	7
OG0000063	5	5
OG0000064	5	5
OG0000065	5	5
OG0000066	5	5
OG0000067	5	5
OG0000068	5	5
OG0000069	4	4
OG0000070	5	5
OG0000071	5	5
OG0000072	4	4
OG0000073	5	5
OG0000074	5	5
OG0000075	5	5
OG0000076	3	3
OG0000077	4	4
OG0000078	3	3
OG0000079	5	5
OG0000080	5	5
OG0000081	5	5
OG0000082	5	5
OG0000083	5	5
OG0000084	5	5
OG0000085	4	4
OG0000086	5	5
OG0000087	5	5
OG0000088	5	5
OG0000089	5	5
OG0000090	5	5
OG0000091	5	5
OG0000092	5	5
OG0000093	4	4
OG0000094	4	4
OG0000095	4	4
OG0000096	4	4
OG0000097	5	5
OG0000098	4	4
OG0000099	5	5
OG0000100	3	3
OG0000101	5	5
OG0000102	7	7
OG0000103	7	7
OG0000104	4	4
OG0000105	4	4
OG0000106	4	4
OG0000107	4	4
OG0000108	4	4
OG0000109	4	4
OG0000110	4	4
OG0000111	4	4
OG0000112	4	4
OG0000113	4	4
OG0000114	4	4
OG0000115	4	4
OG0000116	4	4
OG0000117	4	4
OG0000118	4	4
OG0000119	3	3
OG0000120	3	3
OG0000121	4	4
OG0000122	3	3
OG0000123	3	3
OG0000124	4	4
OG0000125	4	4
OG0000126	4	4
OG0000127	4	4
OG0000128	3	3
OG0000129	4	4
OG0000130	4	4
OG0000131	4	4
OG0000132	4	4
OG0000133	4	4
OG0000134	4	4
OG0000135	4	4
OG0000136	4	4
OG0000137	4	4
OG0000138	4	4
OG0000139	4	4
OG0000140	4	4
OG0000141	4	4
OG0000142	4	4
OG0000143	4	4
OG0000144	4	4
OG0000145	4	4
OG0000146	4	4
OG0000147	4	4
OG0000148	4	4
OG0000149	4	4
OG0000150	4	4
OG0000151	4	4
OG0000152	4	4
OG0000153	4	4
OG0000154	3	3
OG0000155	4	4
OG0000156	4	4
OG0000157	3	2
OG0000158	4	4
OG0000159	4	4
OG0000160	4	4
OG0000161	4	4
OG0000162	3	3
OG0000163	4	4
OG0000164	4	4
OG0000165	4	4
OG0000166	4	4
OG0000167	4	4
OG0000168	4	4
OG0000169	3	3
OG0000170	4	4
OG0000171	4	4
OG0000172	4	4
OG0000173	4	4
OG0000174	4	4
OG0000175	4	4
OG0000176	4	4
OG0000177	3	3
OG0000178	4	4
OG0000179	4	4
OG0000180	4	4
OG0000181	4	4
OG0000182	4	4
OG0000183	4	4
OG0000184	4	4
OG0000185	3	3
OG0000186	4	4
OG0000187	3	3
OG0000188	4	4
OG0000189	4	4
OG0000190	4	4
OG0000191	3	3
OG0000192	4	4
OG0000193	4	4
OG0000194	4	4
OG0000195	4	4
OG0000196	4	4
OG0000197	4	4
OG0000198	4	4
OG0000199	4	4
OG0000200	4	4
OG0000201	4	4
OG0000202	4	4
OG0000203	4	4
OG0000204	4	4
OG0000205	4	4
OG0000206	4	4
OG0000207	4	4
OG0000208	4	4
OG0000209	4	4
OG0000210	4	4
OG0000211	4	4
OG0000212	4	4
OG0000213	4	4
OG0000214	4	4
OG0000215	4	4
OG0000216	4	4
OG0000217	4	4
OG0000218	4	4
OG0000219	4	4
OG0000220	4	4
OG0000221	4	4
OG0000222	4	4
OG0000223	4	4
OG0000224	4	4
OG0000225	4	4
OG0000226	4	4
OG0000227	4	4
OG0000228	4	4
OG0000229	4	4
OG0000230	4	4
OG0000231	4	4
OG0000232	4	4
OG0000233	4	4
OG0000234	4	4
OG0000235	4	4
OG0000236	4	4
OG0000237	4	4
OG0000238	4	4
OG0000239	4	4
OG0000240	4	4
OG0000241	4	4
OG0000242	4	4
OG0000243	4	4
OG0000244	4	4
OG0000245	4	4
OG0000246	3	3
OG0000247	3	3
OG0000248	4	4
OG0000249	4	4
OG0000250	4	4
OG0000251	4	4
OG0000252	4	4
OG0000253	4	4
OG0000254	4	4
OG0000255	4	4
OG0000256	4	4
OG0000257	4	4
OG0000258	5	5
OG0000259	3	3
OG0000260	4	4
OG0000261	4	4
OG0000262	4	4
OG0000263	4	4
OG0000264	4	4
OG0000265	4	4
OG0000266	4	4
OG0000267	3	3
OG0000268	4	4
OG0000269	4	4
OG0000270	4	4
OG0000271	4	4
OG0000272	4	4
OG0000273	4	4
OG0000274	4	4
OG0000275	4	4
OG0000276	3	3
OG0000277	3	3
OG0000278	4	4
OG0000279	4	4
OG0000280	4	4
OG0000281	4	4
OG0000282	4	4
OG0000283	4	4
OG0000284	3	3
OG0000285	4	4
OG0000286	4	4
OG0000287	4	4
OG0000288	4	4
OG0000289	4	4
OG0000290	4	4
OG0000291	3	3
OG0000292	4	4
OG0000293	4	4
OG0000294	4	4
OG0000295	3	3
OG0000296	5	5
OG0000297	4	4
OG0000298	4	4
OG0000299	4	4
OG0000300	4	4
OG0000301	4	4
OG0000302	4	4
OG0000303	4	4
OG0000304	3	3
OG0000305	4	4
OG0000306	4	4
OG0000307	4	4
OG0000308	4	4
OG0000309	4	4
OG0000310	4	4
OG0000311	4	4
OG0000312	4	4
OG0000313	4	4
OG0000314	4	4
OG0000315	4	4
OG0000316	4	4
OG0000317	4	4
OG0000318	4	4
OG0000319	4	4
OG0000320	4	4
OG0000321	3	3
OG0000322	4	4
OG0000323	4	4
OG0000324	4	4
OG0000325	4	4
OG0000326	4	4
OG0000327	4	4
OG0000328	4	4
OG0000329	4	4
OG0000330	4	4
OG0000331	4	4
OG0000332	5	5
OG0000333	4	4
OG0000334	4	4
OG0000335	5	5
OG0000336	4	4
OG0000337	4	4
OG0000338	4	4
OG0000339	4	4
OG0000340	4	4
OG0000341	4	4
OG0000342	2	2
OG0000343	4	4
OG0000344	4	4
OG0000345	4	4
OG0000346	4	4
OG0000347	4	4
OG0000348	4	4
OG0000349	4	4
OG0000350	4	4
OG0000351	4	4
OG0000352	4	4
OG0000353	4	4
OG0000354	4	4
OG0000355	4	4
OG0000356	4	4
OG0000357	4	4
OG0000358	4	4
OG0000359	4	4
OG0000360	4	4
OG0000361	4	4
OG0000362	4	4
OG0000363	4	4
OG0000364	3	3
OG0000365	4	4
OG0000366	4	4
OG0000367	4	4
OG0000368	4	4
OG0000369	4	4
OG0000370	4	4
OG0000371	4	4
OG0000372	4	4
OG0000373	4	4
OG0000374	4	4
OG0000375	3	3
OG0000376	6	6
OG0000377	5	5
OG0000378	6	6
OG0000379	6	6
OG0000380	3	3
OG0000381	3	3
OG0000382	3	3
OG0000383	3	3
OG0000384	3	3
OG0000385	3	3
OG0000386	3	3
OG0000387	3	3
OG0000388	3	3
OG0000389	3	3
OG0000390	3	3
OG0000391	3	3
OG0000392	3	3
OG0000393	3	3
OG0000394	3	3
OG0000395	3	3
OG0000396	3	3
OG0000397	3	3
OG0000398	3	3
OG0000399	3	3
OG0000400	3	3
OG0000401	3	3
OG0000402	3	3
OG0000403	3	3
OG0000404	3	3
OG0000405	3	3
OG0000406	3	3
OG0000407	3	3
OG0000408	3	3
OG0000409	3	3
OG0000410	3	3
OG0000411	3	3
OG0000412	3	3
OG0000413	3	3
OG0000414	4	4
OG0000415	3	3
OG0000416	3	3
OG0000417	3	3
OG0000418	3	3
OG0000419	3	3
OG0000420	3	3
OG0000421	3	3
OG0000422	3	3
OG0000423	3	3
OG0000424	3	3
